Station Code,Station Name,Latitude,Longitude,Data Center(s)
R0000,Raspberry Shake Citizen Science Station,64.92792793,-18.34766616,RASPISHAKE
R0019,Raspberry Shake Citizen Science Station,55.02702703,-2.137975243,RASPISHAKE
R0050,Raspberry Shake Citizen Science Station,18.38738739,-66.15406516,RASPISHAKE
R006A,Raspberry Shake Citizen Science Station,38.54054054,-121.7355794,RASPISHAKE
R006C,Raspberry Shake Citizen Science Station,38.05405405,-97.31843211,RASPISHAKE
R009F,Raspberry Shake Citizen Science Station,35.20720721,-97.44049735,RASPISHAKE
R00A4,Raspberry Shake Citizen Science Station,51.03603604,5.845722394,RASPISHAKE
R00B5,Raspberry Shake Citizen Science Station,45,-123.015178,RASPISHAKE
R00B9,Raspberry Shake Citizen Science Station,-43.52252252,172.6096014,RASPISHAKE
R00C9,Raspberry Shake Citizen Science Station,8.774774775,-82.63554123,RASPISHAKE
R00D1,Raspberry Shake Citizen Science Station,43.02702703,-83.35687835,RASPISHAKE
R00DB,Raspberry Shake Citizen Science Station,9.936936937,-84.18198667,RASPISHAKE
R00DC,Raspberry Shake Citizen Science Station,44.53153153,-123.2941573,RASPISHAKE
R00F5,Raspberry Shake Citizen Science Station,33.79279279,-116.9734483,RASPISHAKE
R0104,Raspberry Shake Citizen Science Station,37.42342342,-122.1084694,RASPISHAKE
R0108,Raspberry Shake Citizen Science Station,58.07207207,7.803359383,RASPISHAKE
R0124,Raspberry Shake Citizen Science Station,36.13513514,-95.97739419,RASPISHAKE
R0128,Raspberry Shake Citizen Science Station,32.75675676,-117.0499758,RASPISHAKE
R013B,Raspberry Shake Citizen Science Station,52.64864865,-0.623705895,RASPISHAKE
R0172,Raspberry Shake Citizen Science Station,30.18018018,-95.57948534,RASPISHAKE
R0174,Raspberry Shake Citizen Science Station,52.66666667,-0.72802657,RASPISHAKE
R0176,Raspberry Shake Citizen Science Station,57.37837838,10.34648914,RASPISHAKE
R0177,Raspberry Shake Citizen Science Station,35.14414414,-85.05886942,RASPISHAKE
R01C0,Raspberry Shake Citizen Science Station,49.46846847,5.532076286,RASPISHAKE
R01D9,Raspberry Shake Citizen Science Station,8.774774775,-82.63554123,RASPISHAKE
R01EA,Raspberry Shake Citizen Science Station,51.57657658,-0.101478629,RASPISHAKE
R01F1,Raspberry Shake Citizen Science Station,33.90990991,-117.9217763,RASPISHAKE
R01F7,Raspberry Shake Citizen Science Station,52.3963964,-113.1976134,RASPISHAKE
R0220,Raspberry Shake Citizen Science Station,47.63063063,7.459958856,RASPISHAKE
R0229,Raspberry Shake Citizen Science Station,61.59459459,-149.1192447,RASPISHAKE
R023E,Raspberry Shake Citizen Science Station,28.23423423,83.41682908,RASPISHAKE
R0241,Raspberry Shake Citizen Science Station,8.774774775,-82.63554123,RASPISHAKE
R026F,Raspberry Shake Citizen Science Station,-26.05405405,28.09889791,RASPISHAKE
R028A,Raspberry Shake Citizen Science Station,-17.69369369,-149.5746289,RASPISHAKE
R02B7,Raspberry Shake Citizen Science Station,37.33333333,-121.9383435,RASPISHAKE
R02DC,Raspberry Shake Citizen Science Station,61.1981982,-149.9550753,RASPISHAKE
R02DD,Raspberry Shake Citizen Science Station,35.01801802,-97.3611881,RASPISHAKE
R02F8,Raspberry Shake Citizen Science Station,37.44144144,-122.117846,RASPISHAKE
R0306,Raspberry Shake Citizen Science Station,18.54954955,-72.29830407,RASPISHAKE
R0318,Raspberry Shake Citizen Science Station,33.03603604,-96.58369523,RASPISHAKE
R0320,Raspberry Shake Citizen Science Station,47.65765766,7.45014042,RASPISHAKE
R032A,Raspberry Shake Citizen Science Station,28.5045045,-82.53994106,RASPISHAKE
R0333,Raspberry Shake Citizen Science Station,50.10810811,7.895465209,RASPISHAKE
R034B,Raspberry Shake Citizen Science Station,42.08108108,-73.9395106,RASPISHAKE
R034F,Raspberry Shake Citizen Science Station,51.3963964,-0.245510879,RASPISHAKE
R0352,Raspberry Shake Citizen Science Station,42.6036036,-71.41496305,RASPISHAKE
R0353,Raspberry Shake Citizen Science Station,50.26126126,-5.017542802,RASPISHAKE
R038C,Raspberry Shake Citizen Science Station,52.54954955,13.18847046,RASPISHAKE
R038D,Raspberry Shake Citizen Science Station,28.36936937,83.05199115,RASPISHAKE
R0390,Raspberry Shake Citizen Science Station,33.06306306,-96.35804824,RASPISHAKE
R03B4,Raspberry Shake Citizen Science Station,52.92792793,-2.570515085,RASPISHAKE
R03D1,Raspberry Shake Citizen Science Station,47.62162162,-122.3491285,RASPISHAKE
R03D7,Raspberry Shake Citizen Science Station,29.88288288,-97.93586527,RASPISHAKE
R03EA,Raspberry Shake Citizen Science Station,47.34234234,8.589634082,RASPISHAKE
R0428,Raspberry Shake Citizen Science Station,39.73873874,-105.1722777,RASPISHAKE
R0457,Raspberry Shake Citizen Science Station,-0.18018018,-78.44184549,RASPISHAKE
R045C,Raspberry Shake Citizen Science Station,37.52252252,-122.2606921,RASPISHAKE
R0461,Raspberry Shake Citizen Science Station,36.36036036,-95.89308826,RASPISHAKE
R0468,Raspberry Shake Citizen Science Station,14.08108108,-87.16066346,RASPISHAKE
R0473,Raspberry Shake Citizen Science Station,51.75675676,-2.474254625,RASPISHAKE
R0499,Raspberry Shake Citizen Science Station,47.94594595,-122.0768726,RASPISHAKE
R04C9,Raspberry Shake Citizen Science Station,33.78378378,-118.3690786,RASPISHAKE
R04CD,Raspberry Shake Citizen Science Station,20.69369369,-105.2173921,RASPISHAKE
R04E8,Raspberry Shake Citizen Science Station,37.40540541,-121.7723847,RASPISHAKE
R04F3,Raspberry Shake Citizen Science Station,57.76576577,12.26339559,RASPISHAKE
R050E,Raspberry Shake Citizen Science Station,45.97297297,7.662007541,RASPISHAKE
R052F,Raspberry Shake Citizen Science Station,37.75675676,-122.4388368,RASPISHAKE
R0538,Raspberry Shake Citizen Science Station,39.54954955,-87.28582129,RASPISHAKE
R0554,Raspberry Shake Citizen Science Station,-33.92792793,18.51276568,RASPISHAKE
R0589,Raspberry Shake Citizen Science Station,51.38738739,1.414833979,RASPISHAKE
R05A5,Raspberry Shake Citizen Science Station,44.90990991,25.45730353,RASPISHAKE
R0603,Raspberry Shake Citizen Science Station,13.72972973,100.5134802,RASPISHAKE
R0627,Raspberry Shake Citizen Science Station,45.78378378,3.061711534,RASPISHAKE
R0664,Raspberry Shake Citizen Science Station,52.67567568,-0.713212963,RASPISHAKE
R066F,Raspberry Shake Citizen Science Station,38.15315315,-85.85883681,RASPISHAKE
R0695,Raspberry Shake Citizen Science Station,55.67567568,12.57522045,RASPISHAKE
R06AC,Raspberry Shake Citizen Science Station,44.88288288,-68.67354461,RASPISHAKE
